year_c,year,cpue_trend
-13.0,2001.0,0.3331875791595293
-12.767676767676768,2001.2323232323233,0.3429180246839477
-12.535353535353535,2001.4646464646464,0.3508003623757614
-12.303030303030303,2001.6969696969697,0.35695975398577046
-12.070707070707071,2001.9292929292928,0.361567399018391
-11.83838383838384,2002.1616161616162,0.3648306849139847
-11.606060606060606,2002.3939393939395,0.36698374197602873
-11.373737373737374,2002.6262626262626,0.3682789992505073
-11.141414141414142,2002.858585858586,0.36898017994394133
-10.90909090909091,2003.090909090909,0.36935702829473377
-10.676767676767676,2003.3232323232323,0.3696819380827448
-10.444444444444445,2003.5555555555557,0.37022856519086933
-10.212121212121211,2003.7878787878788,0.3712724577608118
-9.97979797979798,2004.020202020202,0.3730937297305154
-9.747474747474747,2004.2525252525252,0.37598183798098245
-9.515151515151516,2004.4848484848485,0.3802426015847095
-9.282828282828284,2004.7171717171718,0.3862077276932711
-9.05050505050505,2004.949494949495,0.39424729067339725
-8.818181818181818,2005.1818181818182,0.404785864110422
-8.585858585858585,2005.4141414141413,0.41832335400457277
-8.353535353535353,2005.6464646464647,0.4354611537517829
-8.121212121212121,2005.878787878788,0.4567356961340426
-7.888888888888889,2006.111111111111,0.4823435771128875
-7.656565656565657,2006.3434343434344,0.5124643549039594
-7.424242424242424,2006.5757575757575,0.5473007639425552
-7.191919191919192,2006.8080808080808,0.5870610732914284
-6.959595959595959,2007.040404040404,0.6319387147570825
-6.7272727272727275,2007.2727272727273,0.6820884559557017
-6.494949494949495,2007.5050505050506,0.7375986354602875
-6.262626262626263,2007.7373737373737,0.7984593086177242
-6.03030303030303,2007.969696969697,0.8645266006002501
-5.7979797979797985,2008.20202020202,0.9354841452205633
-5.565656565656566,2008.4343434343434,1.0108032059442011
-5.333333333333333,2008.6666666666667,1.0897039083606754
-5.101010101010101,2008.8989898989898,1.1711209092944128
-4.8686868686868685,2009.1313131313132,1.2536776975117245
-4.636363636363637,2009.3636363636363,1.3356744349900933
-4.404040404040405,2009.5959595959596,1.4150946394533765
-4.171717171717171,2009.828282828283,1.4896358878671487
-3.9393939393939394,2010.060606060606,1.5567688969874038
-3.7070707070707076,2010.2929292929293,1.613852832569393
-3.474747474747474,2010.5252525252524,1.6592400378753653
-3.242424242424242,2010.7575757575758,1.6928242573034826
-3.0101010101010104,2010.989898989899,1.71493085725559
-2.7777777777777786,2011.2222222222222,1.7261882811393257
-2.545454545454545,2011.4545454545455,1.7274728978441265
-2.313131313131313,2011.6868686868686,1.7198500053409027
-2.0808080808080813,2011.919191919192,1.704515183648043
-1.8484848484848477,2012.1515151515152,1.6827394270278926
-1.616161616161616,2012.3838383838383,1.6558206039919636
-1.383838383838384,2012.6161616161617,1.6250429034722433
-1.1515151515151523,2012.8484848484848,1.5916451099174125
-0.9191919191919187,2013.080808080808,1.5567978652287573
-0.6868686868686869,2013.3131313131314,1.5215895513252709
-0.45454545454545503,2013.5454545454545,1.4870200716616007
-0.2222222222222232,2013.7777777777778,1.454001614802884
0.010101010101010388,2014.010101010101,1.423365429470911
0.2424242424242422,2014.2424242424242,1.3958737049202927
0.47474747474747403,2014.4747474747476,1.3722358097395915
0.7070707070707076,2014.7070707070707,1.353128376611838
0.9393939393939394,2014.939393939394,1.3391744035848905
1.1717171717171713,2015.171717171717,1.3303531211175768
1.404040404040403,2015.4040404040404,1.326189246062339
1.6363636363636367,2015.6363636363637,1.3262508685885437
1.8686868686868685,2015.8686868686868,1.3301490398278621
2.1010101010101003,2016.1010101010102,1.3375259232241745
2.333333333333334,2016.3333333333333,1.3480444845099044
2.5656565656565657,2016.5656565656566,1.3613794383898232
2.7979797979797976,2016.79797979798,1.3772092519710075
3.030303030303031,2017.030303030303,1.395209073763667
3.262626262626263,2017.2626262626263,1.4150445158236373
3.494949494949495,2017.4949494949494,1.4363662673973976
3.7272727272727266,2017.7272727272727,1.4588055624873284
3.9595959595959584,2017.9595959595958,1.4819705615760788
4.19191919191919,2018.1919191919192,1.5054437392133
4.424242424242426,2018.4242424242425,1.5287803936300717
4.6565656565656575,2018.6565656565656,1.551508410932431
4.888888888888889,2018.888888888889,1.5731294233447277
5.121212121212121,2019.121212121212,1.5931214968518077
5.353535353535353,2019.3535353535353,1.6109434668339535
5.585858585858585,2019.5858585858587,1.6260883312377754
5.818181818181817,2019.8181818181818,1.6383975134907378
6.050505050505052,2020.050505050505,1.6478834370702444
6.282828282828284,2020.2828282828282,1.6545759387566483
6.515151515151516,2020.5151515151515,1.6585206116247755
6.747474747474747,2020.7474747474748,1.6597777584652174
6.979797979797979,2020.979797979798,1.6584212442674122
7.212121212121211,2021.2121212121212,1.6545372690660183
7.444444444444443,2021.4444444444443,1.6482230821933581
7.676767676767678,2021.6767676767677,1.6395856583597213
7.90909090909091,2021.909090909091,1.6287403550446788
8.141414141414142,2022.141414141414,1.615809569474025
8.373737373737374,2022.3737373737374,1.6009214120279798
8.606060606060606,2022.6060606060605,1.5842084113263921
8.838383838383837,2022.8383838383838,1.5658062645144175
9.07070707070707,2023.0707070707072,1.545852644473692
9.303030303030305,2023.3030303030303,1.5244860738525166
9.535353535353536,2023.5353535353536,1.5018448739832184
9.767676767676768,2023.7676767676767,1.4780661949704326
10.0,2024.0,1.453285131520705
