group_col,variable,group_a,group_b,n_obs_a,n_obs_b,median_a,median_b,U_statistic,pvalue_raw,pvalue_holm,sig_holm
platform_exposure_class,cpue_ton_per_trip,0-20 km,20-50 km,48,121,0.0725,0.06,3123.0,0.4462,0.4462,ns
platform_exposure_class,production_ton,0-20 km,20-50 km,48,125,367.0485,207.233,3751.0,0.0109,0.0109,*
platform_exposure_class,richness,0-20 km,20-50 km,48,125,39.0,35.0,3833.5,0.0047,0.0047,**
platform_exposure_class,shannon_h,0-20 km,20-50 km,48,125,2.6176,2.4302,3741.0,0.0121,0.0121,*
mpa_exposure_class,cpue_ton_per_trip,0-10 km,10-25 km,48,36,0.0725,0.0455,1352.0,0.0,0.0001,***
mpa_exposure_class,cpue_ton_per_trip,0-10 km,25-50 km,48,40,0.0725,0.0719,926.0,0.7789,0.7789,ns
mpa_exposure_class,cpue_ton_per_trip,0-10 km,inside,48,45,0.0725,0.0925,845.0,0.0714,0.2143,ns
mpa_exposure_class,cpue_ton_per_trip,10-25 km,25-50 km,36,40,0.0455,0.0719,374.0,0.0003,0.0013,**
mpa_exposure_class,cpue_ton_per_trip,10-25 km,inside,36,45,0.0455,0.0925,335.0,0.0,0.0,***
mpa_exposure_class,cpue_ton_per_trip,25-50 km,inside,40,45,0.0719,0.0925,701.0,0.0805,0.2143,ns
mpa_exposure_class,production_ton,0-10 km,10-25 km,48,39,367.0485,89.2,1607.0,0.0,0.0,***
mpa_exposure_class,production_ton,0-10 km,25-50 km,48,41,367.0485,335.3,1178.0,0.1112,0.2224,ns
mpa_exposure_class,production_ton,0-10 km,inside,48,45,367.0485,529.0,966.0,0.3829,0.3829,ns
mpa_exposure_class,production_ton,10-25 km,25-50 km,39,41,89.2,335.3,538.0,0.012,0.048,*
mpa_exposure_class,production_ton,10-25 km,inside,39,45,89.2,529.0,273.0,0.0,0.0,***
mpa_exposure_class,production_ton,25-50 km,inside,41,45,335.3,529.0,667.0,0.0275,0.0824,.
mpa_exposure_class,richness,0-10 km,10-25 km,48,39,39.0,31.0,1400.0,0.0001,0.0005,***
mpa_exposure_class,richness,0-10 km,25-50 km,48,41,39.0,33.0,1302.0,0.0089,0.0355,*
mpa_exposure_class,richness,0-10 km,inside,48,45,39.0,38.0,1131.5,0.6947,0.6947,ns
mpa_exposure_class,richness,10-25 km,25-50 km,39,41,31.0,33.0,678.0,0.2435,0.4871,ns
mpa_exposure_class,richness,10-25 km,inside,39,45,31.0,38.0,505.0,0.0008,0.0042,**
mpa_exposure_class,richness,25-50 km,inside,41,45,33.0,38.0,677.0,0.0339,0.1017,ns
mpa_exposure_class,shannon_h,0-10 km,10-25 km,48,39,2.6176,2.4093,1282.0,0.0032,0.0191,*
mpa_exposure_class,shannon_h,0-10 km,25-50 km,48,41,2.6176,2.4894,1221.0,0.0516,0.2579,ns
mpa_exposure_class,shannon_h,0-10 km,inside,48,45,2.6176,2.4179,1238.0,0.226,0.9039,ns
mpa_exposure_class,shannon_h,10-25 km,25-50 km,39,41,2.4093,2.4894,725.0,0.4763,1.0,ns
mpa_exposure_class,shannon_h,10-25 km,inside,39,45,2.4093,2.4179,837.5,0.7231,1.0,ns
mpa_exposure_class,shannon_h,25-50 km,inside,41,45,2.4894,2.4179,956.0,0.7754,1.0,ns
