platform_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_mean,n_locals,cpue
0-20 km,2001,267.13,4621,265.0,673.5999999999999,0.05176892942716389,2,0.05780783380220731
0-20 km,2002,326.04999999999995,5488,289.0,770.6899999999999,0.0545737484160222,2,0.059411443148688035
0-20 km,2003,445.36,6089,292.0,743.19,0.06284172811502975,2,0.07314173099031039
0-20 km,2004,837.1500000000001,9109,320.0,881.62,0.08124739788551395,2,0.09190361181249315
0-20 km,2005,472.91999999999996,7513,326.0,737.96,0.057886792460509054,2,0.06294689205377345
0-20 km,2006,265.59,4678,249.0,663.46,0.051351381461675547,2,0.05677426250534416
0-20 km,2007,421.59000000000003,5878,298.0,780.71,0.06341742749016195,2,0.07172337529772031
0-20 km,2008,1432.58,16014,427.0,1065.72,0.09319626751353799,2,0.08945797427251155
0-20 km,2009,2845.0480000000002,17958,429.0,861.5,0.138411277505868,2,0.15842788729257157
0-20 km,2010,2445.663,23574,559.0,891.5,0.09341045357809175,2,0.10374408246373124
0-20 km,2011,2099.329,20323,387.0,741.0,0.0944062580679928,2,0.10329818432318064
0-20 km,2012,1269.8999999999999,19915,477.0,619.5,0.056168815812589354,2,0.06376600552347476
0-20 km,2013,1665.3,21282,444.0,636.5,0.06570301626603345,2,0.07824922469692698
0-20 km,2014,921.23,10432,232.0,648.0,0.07203893146949415,2,0.08830809049079755
0-20 km,2015,870.1,12754,246.0,690.0,0.058640006807923896,2,0.06822173435784852
0-20 km,2016,1694.4,12584,258.0,661.0,0.1185711703556838,2,0.1346471710108074
0-20 km,2017,1763.0,11428,273.0,618.0,0.1344109934101732,2,0.15427021351067555
0-20 km,2018,707.1099999999999,10272,278.0,710.0,0.0634634930545864,2,0.06883859034267911
0-20 km,2019,1940.234,31153,291.0,808.0,0.0539578500209201,2,0.06228080762687382
0-20 km,2020,1559.54,21842,277.0,733.0,0.0630271225444353,2,0.07140097060708726
0-20 km,2021,1512.04756,21970,263.0,750.0,0.06552400264772776,2,0.06882328447883478
0-20 km,2022,1700.73,22615,355.6,849.0,0.07626997943231935,2,0.0752036259120053
0-20 km,2023,1763.23,22976,277.0,795.5999999999999,0.08193094640168215,2,0.07674225278551532
0-20 km,2024,1204.5,18528,266.6,652.0,0.0629358629970113,2,0.06500971502590673
20-50 km,2001,299.29999999999995,10817,280.0,862.47,0.0269367821074285,2,0.027669409263196814
20-50 km,2002,371.47999999999996,8516,274.0,868.04,0.03870704582631915,2,0.043621418506341
20-50 km,2003,398.28999999999996,7375,280.0,965.45,0.13854438043527814,4,0.054005423728813555
20-50 km,2004,531.39,9537,311.0,945.16,0.048395418030858534,3,0.05571877949040579
20-50 km,2005,622.21,11175,476.0,1339.66,0.06840406852280626,5,0.055678747203579425
20-50 km,2006,487.66999999999996,8083,307.0,1016.15,0.05605799753088544,3,0.0603327972287517
20-50 km,2007,631.68,8531,425.0,1292.78,0.09295750585673902,5,0.07404524674715741
20-50 km,2008,1308.94,20986,556.0,1666.87,0.08891502831595795,5,0.062372057562184315
20-50 km,2009,3214.0530000000003,21026,628.0,2198.5,0.14749134746357476,6,0.15286088652144966
20-50 km,2010,2897.1639999999998,28208,776.0,1989.5,0.09358506339158139,6,0.1027071752694271
20-50 km,2011,2928.478,33369,927.0,1715.5,0.07531589327952556,6,0.08776043633312355
20-50 km,2012,3345.5,41397,1053.0,1421.0,0.07507370649985386,6,0.08081503490591106
20-50 km,2013,4087.3,39263,963.0,1521.75,0.09750021892038617,6,0.10410055268318774
20-50 km,2014,2809.99,18287,476.0,1452.0,0.1493495458575458,6,0.15366052386941542
20-50 km,2015,3251.2999999999997,20903,527.0,1623.0,0.16587720967614086,6,0.15554226666028798
20-50 km,2016,5582.9,18933,504.0,1481.0,0.2902567547557328,6,0.29487667036391485
20-50 km,2017,5596.0,15028,520.0,1310.0,0.33945970582369656,6,0.37237157306361457
20-50 km,2018,2986.56,11122,510.0,1451.0,0.24834347941302046,6,0.26852724330156447
20-50 km,2019,5877.234,46555,446.0,1455.0,0.15503365791145324,6,0.1262428095800666
20-50 km,2020,5059.31,24092,409.0,1311.0,0.1928136929979819,6,0.20999958492445628
20-50 km,2021,5922.65564,27442,418.0,1347.7,0.1739553995425184,6,0.21582448946869762
20-50 km,2022,5586.8099999999995,26606,505.40000000000003,1314.7,0.1745837430184807,6,0.20998308652183717
20-50 km,2023,5581.64,27241,395.0,1273.5,0.18612166314477616,6,0.20489849858668918
20-50 km,2024,4295.9,20826,411.2,1089.0,0.18995042270977958,6,0.20627580908479784
