year,master_ton,gear_ton,species_ton,pct_diff_sp
2001,566.43,566.4599999999999,566.4300000000001,2.007076562357503e-14
2002,697.53,697.5400000000001,697.48,0.007168150473808227
2003,843.65,843.66,843.66,0.0011853256682262674
2004,1368.54,1368.52,1368.52,0.0014614114311588854
2005,1095.13,1095.1000000000001,1095.2299999999998,0.009131336005741935
2006,753.26,753.2700000000001,753.26,0.0
2007,1053.2699999999998,1053.28,1053.25,0.0018988483484533348
2008,2741.52,2741.1000000000004,2741.5,0.0007295223087915395
2009,6059.101000000001,6058.9447,6059.006600000001,0.00155798690267666
2010,5342.826999999999,5342.8460000000005,5342.757,0.0013101678193905392
2011,5027.807000000001,5028.452,5027.85,0.0008552436479694885
2012,4615.4,4616.200000000001,4613.9,0.032499891667027776
2013,5752.6,5753.900000000001,5752.299999999999,0.005215033202397027
2014,3731.22,3731.2000000000007,3730.8999999999996,0.008576283360406615
2015,4121.4,4119.800000000001,4121.599999999999,0.0048527199495273
2016,7277.299999999999,7280.499999999999,7280.399999999999,0.042598216371448956
2017,7359.0,7359.9,7360.300000000001,0.017665443674427114
2018,3693.67,3693.5000000000005,3691.3,0.06416382622161403
2019,7817.468,7817.400000000001,7817.5,0.00040933969924984405
2020,6618.85,6618.9,6619.0,0.0022662547119157586
2021,7434.7032,7434.799999999999,7434.589999999998,0.0015225893617595628
2022,7287.539999999999,7287.0,7287.5,0.0005488820644422416
2023,7344.870000000001,7351.6,7344.91,0.0005445977940937569
2024,5500.4,5499.500000000001,5500.99,0.010726492618721285
